National Instruments Acquisition
Time    Acc002_z    Volt001
0.096680 -1.104038 -4.017964
0.097168 -1.129105 -4.112494
0.097656 -1.252457 -4.192441
0.098145 -1.314320 -4.261447
0.098633 -1.339575 -4.317223
0.099121 -1.356511 -4.359403
0.099609 -1.358010 -4.388371
0.100098 -1.367977 -4.399957
0.100586 -1.333317 -4.394312
0.101074 -1.312784 -4.364664
0.101563 -1.328634 -4.313140
0.102051 -1.323912 -4.252630
0.102539 -1.309899 -4.178474
0.103027 -1.284531 -4.086179
0.103516 -1.272279 -3.976416
0.104004 -1.273103 -3.856110
0.104492 -1.253281 -3.731308
0.104980 -1.239979 -3.597767
0.105469 -1.225329 -3.456335
0.105957 -1.192430 -3.306915
0.106445 -1.179428 -3.151483
0.106934 -1.160318 -2.992838
0.107422 -1.113855 -2.830097
0.107910 -1.061809 -2.665152
0.108398 -0.986644 -2.497469
0.108887 -0.918710 -2.328593
0.109375 -0.836464 -2.160615
0.109863 -0.743013 -1.992864
0.110352 -0.692915 -1.828629
0.110840 -0.610294 -1.670047
0.111328 -0.535016 -1.515915
0.111816 -0.452320 -1.368542
0.112305 -0.311432 -1.227275
0.112793 -0.204680 -1.092423
0.113281 -0.059820 -0.966377
0.113770 0.107934 -0.839449
0.114258 0.287790 -0.717622
0.114746 0.517182 -0.615396
0.115234 0.742565 -0.522021
0.115723 0.950337 -0.432016
0.116211 1.113969 -0.349248
0.116699 1.242417 -0.276027
0.117188 1.287756 -0.221999
0.117676 1.351830 -0.178348
0.118164 1.393534 -0.139381
0.118652 1.398255 -0.111295
0.119141 1.523218 -0.074608
0.119629 1.593362 -0.038092
0.120117 1.659684 -0.017860
0.120605 1.758905 0.004386
0.121094 1.817808 0.028684
0.121582 1.909760 0.055200
0.122070 2.003135 0.086698
0.122559 2.121129 0.123277
0.123047 2.254448 0.170343
0.123535 2.395935 0.227850
0.124023 2.540494 0.301362
0.124512 2.662722 0.390773
0.125000 2.774870 0.502856
0.125488 2.841717 0.634204
0.125977 2.928086 0.779992
0.126465 3.061816 0.965083
0.126953 3.138480 1.189171
0.127441 3.164035 1.446751
0.127930 3.188465 1.742984
0.128418 3.208624 2.078265
0.128906 3.217243 2.456910
0.129395 3.209186 2.877137
0.129883 3.169393 3.340052
0.130371 3.099998 3.838058
0.130859 3.002726 4.368852
0.131348 2.872742 4.912939
0.131836 2.755498 5.446201
0.132324 2.648408 5.991835
0.132813 2.527417 6.530377
0.133301 2.398483 7.025470
0.133789 2.249389 7.470368
0.134277 2.129222 7.822280
0.134766 2.032474 8.075525
0.135254 1.910884 8.244797
0.135742 1.801134 8.296613
0.136230 1.697941 8.216999
0.136719 1.589165 8.001673
0.137207 1.494928 7.640775
0.137695 1.419576 7.140863
0.138184 1.377946 6.505553
0.138672 1.364832 5.751700
0.139160 1.356813 4.897653
0.139648 1.347108 3.943670
0.140137 1.349544 2.926677
0.140625 1.371239 1.879375
0.141113 1.393834 0.791586
0.141602 1.411557 -0.331740
0.142090 1.430554 -1.477379
0.142578 1.461092 -2.638348
0.143066 1.489532 -3.791979
0.143555 1.539442 -4.918645
0.144043 1.587816 -6.020378
0.144531 1.528726 -7.060955
0.145020 1.427070 -7.998408
0.145508 1.326312 -8.803464
0.145996 1.186886 -9.445533
0.146484 1.006392 -9.913675
0.146973 0.881055 -10.185692
0.147461 0.824775 -10.289283
0.147949 0.695165 -10.189059
0.148438 0.653911 -9.879297
0.148926 0.665527 -9.498832
0.149414 0.580245 -9.043741
0.149902 0.528611 -8.468172
0.150391 0.454083 -7.814161
0.150879 0.397203 -7.132098
0.151367 0.369962 -6.457714
0.151855 0.275163 -5.790480
0.152344 0.196850 -5.141327
0.152832 0.072562 -4.519704
0.153320 -0.083539 -3.925213
0.153809 -0.163238 -3.374251
0.154297 -0.263171 -2.872101
0.154785 -0.393904 -2.403589
0.155273 -0.527597 -1.979398
0.155762 -0.648139 -1.610325
0.156250 -0.776062 -1.283772
0.156738 -0.941305 -0.998528
0.157227 -1.089349 -0.755987
0.157715 -1.289365 -0.552864
0.158203 -1.479414 -0.387404
0.158691 -1.617453 -0.258795
0.159180 -1.813759 -0.163439
0.159668 -1.984324 -0.096081
0.160156 -2.104415 -0.050258
0.160645 -2.298173 -0.017382
0.161133 -2.460869 0.006860
0.161621 -2.534572 0.025485
0.162109 -2.650880 0.044395
0.162598 -2.734513 0.069036
0.163086 -2.875513 0.103829
0.163574 -3.077964 0.154486
0.164063 -3.218140 0.226295
0.164551 -3.379861 0.324072
0.165039 -3.496318 0.454519
0.165527 -3.558369 0.622038
0.166016 -3.601122 0.830919
0.166504 -3.618059 1.084975
0.166992 -3.583998 1.387567
0.167480 -3.501452 1.739673
0.167969 -3.374803 2.142489
0.168457 -3.203189 2.596406
0.168945 -2.989160 3.097111
0.169434 -2.664182 3.638620
0.169922 -2.378434 4.203679
0.170410 -2.092725 4.796279
0.170898 -1.692206 5.393833
0.171387 -1.316718 5.956127
0.171875 -0.961914 6.507051
0.172363 -0.630078 7.023213
0.172852 -0.323572 7.463803
0.173340 -0.005264 7.830735
0.173828 0.289664 8.094099
0.174316 0.539402 8.246071
0.174805 0.788466 8.270058
0.175293 0.980913 8.150686
0.175781 1.092461 7.957490
0.176270 1.217537 7.708945
0.176758 1.319680 7.381454
0.177246 1.396419 6.996207
0.177734 1.417964 6.569389
0.178223 1.380569 6.124509
0.178711 1.359511 5.665338
0.179199 1.295549 5.192683
0.179688 1.166652 4.734416
0.180176 1.028275 4.298754
0.180664 0.884202 3.884210
0.181152 0.706257 3.491796
0.181641 0.501520 3.123669
0.182129 0.314769 2.777754
0.182617 0.126931 2.448096
0.183105 -0.100026 2.141506
0.183594 -0.325521 1.858825
0.184082 -0.530932 1.589931
0.184570 -0.727575 1.331223
0.185059 -0.915713 1.080925
0.185547 -1.079495 0.835167
0.186035 -1.213451 0.590686
0.186523 -1.332006 0.345006
0.187012 -1.418262 0.095841
0.187500 -1.474805 -0.157454
0.187988 -1.513099 -0.415860
0.188477 -1.528050 -0.678514
0.188965 -1.527225 -0.945054
0.189453 -1.513849 -1.214676
0.189941 -1.500022 -1.484231
0.190430 -1.485783 -1.754623
0.190918 -1.467161 -2.021955
0.191406 -1.445653 -2.286309
0.191895 -1.400352 -2.540807
0.192383 -1.360895 -2.774803
0.192871 -1.337252 -3.002571
0.193359 -1.303117 -3.227058
0.193848 -1.278311 -3.436895
0.194336 -1.251483 -3.629653
0.194824 -1.219521 -3.804152
0.195313 -1.184149 -3.952672
0.195801 -1.152449 -4.078232
0.196289 -1.128918 -4.186362
0.196777 -1.097668 -4.264463
0.197266 -1.159194 -4.326572
0.197754 -1.280222 -4.381279
0.198242 -1.322114 -4.415856
0.198730 -1.351865 -4.439081
0.199219 -1.367753 -4.454927
0.199707 -1.328596 -4.451642
0.200195 -1.314657 -4.417978
0.200684 -1.329758 -4.363778
0.201172 -1.338114 -4.301202
0.201660 -1.331594 -4.225986
0.202148 -1.321514 -4.133190
0.202637 -1.315557 -4.027515
0.203125 -1.293861 -3.917423
0.203613 -1.281571 -3.799590
0.204102 -1.282733 -3.672065
0.204590 -1.270105 -3.536435
0.205078 -1.255455 -3.392556
0.205566 -1.242452 -3.242018
0.206055 -1.217198 -3.085540
0.206543 -1.193591 -2.924563
0.207031 -1.156346 -2.760265
0.207520 -1.101415 -2.592245
0.208008 -1.055364 -2.422110
0.208496 -0.977576 -2.251449
0.208984 -0.906570 -2.080885
0.209473 -0.831592 -1.911774
0.209961 -0.747435 -1.745604
0.210449 -0.691117 -1.584559
0.210938 -0.574810 -1.428511
0.211426 -0.485706 -1.281601
0.211914 -0.412751 -1.141660
0.212402 -0.290749 -1.008766
0.212891 -0.184596 -0.886019
0.213379 -0.034153 -0.769090
0.213867 0.125657 -0.662231
0.214355 0.303378 -0.562407
0.214844 0.539365 -0.473829
0.215332 0.770705 -0.391708
0.215820 0.958768 -0.322294
0.216309 1.147205 -0.261870
0.216797 1.311512 -0.180470
0.217285 1.316757 -0.123304
0.217773 1.329198 -0.095942
0.218262 1.412868 -0.067849
0.218750 1.450151 -0.051569
0.219238 1.511415 -0.036236
0.219727 1.597371 -0.022998
0.220215 1.689248 -0.011542
0.220703 1.769734 0.002787
0.221191 1.835531 0.015771
0.221680 1.915755 0.029330
0.222168 2.027304 0.047257
0.222656 2.171901 0.076053
0.223145 2.299112 0.114081
0.223633 2.432918 0.163689
0.224121 2.586320 0.229363
0.224609 2.700679 0.312302
0.225098 2.799338 0.416688
0.225586 2.907889 0.544158
0.226074 2.992572 0.698536
0.226563 3.067062 0.884147
0.227051 3.133010 1.103007
0.227539 3.178124 1.359619
0.228027 3.210423 1.656110
0.228516 3.208325 1.995120
0.229004 3.200194 2.376130
0.229492 3.196297 2.800377
0.229980 3.156391 3.267541
0.230469 3.079989 3.773550
0.230957 2.987288 4.314540
0.231445 2.879712 4.878105
0.231934 2.741559 5.456798
0.232422 2.616297 6.029180
0.232910 2.480917 6.587076
0.233398 2.320920 7.098314
0.233887 2.217577 7.517024
0.234375 2.119405 7.878601
0.234863 1.999426 8.169670
0.235352 1.899268 8.347509
0.235840 1.784722 8.406940
0.236328 1.669951 8.329074
0.236816 1.569531 8.105551
0.237305 1.457982 7.722635
0.237793 1.383080 7.196512
0.238281 1.355726 6.554354
0.238770 1.344111 5.800022
0.239258 1.354190 4.951143
0.239746 1.352916 4.023863
0.240234 1.344336 3.035487
0.240723 1.351792 2.003527
0.241211 1.363595 0.938731
0.241699 1.394920 -0.150116
0.242188 1.431491 -1.257670
0.242676 1.478891 -2.375189
0.243164 1.533672 -3.495937
0.243652 1.572866 -4.607022
0.244141 1.589315 -5.690742
0.244629 1.524379 -6.719553
0.245117 1.406461 -7.658296
0.245605 1.289592 -8.477714
0.246094 1.147318 -9.136204
0.246582 0.986945 -9.627732
0.247070 0.900689 -9.964284
0.247559 0.850929 -10.140060
0.248047 0.773103 -10.153358
0.248535 0.734921 -10.008866
0.249023 0.625658 -9.723667
0.249512 0.550006 -9.272768
0.250000 0.556114 -8.711961
0.250488 0.468171 -8.124596
0.250977 0.407919 -7.462795
0.251465 0.330581 -6.753894
0.251953 0.251444 -6.060263
0.252441 0.181825 -5.386211
0.252930 0.040637 -4.744359
0.253418 -0.073122 -4.133765
0.253906 -0.206928 -3.555599
0.254395 -0.333989 -3.010847
0.254883 -0.420882 -2.517017
0.255371 -0.532206 -2.078677
0.255859 -0.676991 -1.684750
0.256348 -0.819864 -1.338928
0.256836 -0.981998 -1.039247
0.257324 -1.158332 -0.785956
0.257813 -1.327959 -0.573048
0.258301 -1.572752 -0.400111
0.258789 -1.766360 -0.265662
0.259277 -1.895557 -0.166044
0.259766 -2.028913 -0.100602
0.260254 -2.162494 -0.053202
0.260742 -2.353779 -0.018858
0.261230 -2.480466 0.003564
0.261719 -2.594787 0.022444
0.262207 -2.707235 0.041525
0.262695 -2.786896 0.066746
0.263184 -2.947718 0.102805
0.263672 -3.115921 0.154808
0.264160 -3.264491 0.228724
0.264648 -3.389004 0.328877
0.265137 -3.506697 0.461693
0.265625 -3.586659 0.632152
0.266113 -3.607605 0.844056
0.266602 -3.615773 1.102674
0.267090 -3.573544 1.409959
0.267578 -3.468478 1.769310
0.268066 -3.307169 2.178205
0.268555 -3.141101 2.636101
0.269043 -2.909948 3.141248
0.269531 -2.600033 3.674335
0.270020 -2.284422 4.237560
0.270508 -1.963078 4.832304
0.270996 -1.619852 5.435015
0.271484 -1.240242 6.024808
0.271973 -0.877006 6.590350
0.272461 -0.489228 7.093064
0.272949 -0.166610 7.502273
0.273438 0.077620 7.841892
0.273926 0.397615 8.067485
0.274414 0.647241 8.157247
0.274902 0.820915 8.174931
0.275391 1.011376 8.102763
0.275879 1.160357 7.917829
0.276367 1.275728 7.648046
0.276855 1.347520 7.299912
0.277344 1.380794 6.898068
0.277832 1.388400 6.477643
0.278320 1.366368 6.042063
0.278809 1.323202 5.595891
0.279297 1.237283 5.148687
0.279785 1.127121 4.708433
0.280273 1.004406 4.279773
0.280762 0.834405 3.867307
0.281250 0.639860 3.481607
0.281738 0.444041 3.119888
0.282227 0.237093 2.777892
0.282715 0.027335 2.456607
0.283203 -0.175416 2.155704
0.283691 -0.376817 1.873442
0.284180 -0.583203 1.606678
0.284668 -0.778085 1.352374
0.285156 -0.953558 1.105488
0.285645 -1.118464 0.863156
0.286133 -1.259913 0.622557
0.286621 -1.366179 0.380296
0.287109 -1.443854 0.134000
0.287598 -1.497886 -0.117225
0.288086 -1.531010 -0.374364
0.288574 -1.538654 -0.636405
0.289063 -1.530111 -0.902893
0.289551 -1.514523 -1.173460
0.290039 -1.498074 -1.444267
0.290527 -1.479488 -1.716703
0.291016 -1.459067 -1.985653
0.291504 -1.442468 -2.253355
0.291992 -1.396792 -2.508906
0.292480 -1.361795 -2.740227
0.292969 -1.351490 -2.975198
0.293457 -1.306939 -3.206445
0.293945 -1.263548 -3.417870
0.294434 -1.235595 -3.614095
0.294922 -1.207867 -3.790129
0.295410 -1.167512 -3.946529
0.295898 -1.133714 -4.079756
0.296387 -1.112806 -4.192997
0.296875 -1.087813 -4.282498
0.297363 -1.169798 -4.355667
0.297852 -1.278424 -4.412661
0.298340 -1.297234 -4.440953
0.298828 -1.327397 -4.467395
0.299316 -1.342310 -4.487844
0.299805 -1.332793 -4.485378
0.300293 -1.335603 -4.468460
0.300781 -1.330133 -4.431559
0.301270 -1.330844 -4.380323
0.301758 -1.326685 -4.310296
0.302246 -1.318704 -4.214115
0.302734 -1.304690 -4.110499
0.303223 -1.280372 -3.999275
0.303711 -1.276850 -3.874152
0.304199 -1.268719 -3.740316
0.304688 -1.241141 -3.596067
0.305176 -1.238143 -3.444353
0.305664 -1.229900 -3.288435
0.306152 -1.206968 -3.126569
0.306641 -1.181151 -2.960088
0.307129 -1.125283 -2.789610
0.307617 -1.082942 -2.616042
0.308105 -1.036966 -2.441977
0.308594 -0.969108 -2.267119
0.309082 -0.903160 -2.093245
0.309570 -0.803752 -1.920749
0.310059 -0.736868 -1.750214
0.310547 -0.680963 -1.585602
0.311035 -0.575821 -1.426475
0.311523 -0.509649 -1.273579
0.312012 -0.403646 -1.127716
0.312500 -0.267854 -0.989385
0.312988 -0.151585 -0.855561
0.313477 0.014820 -0.727946
0.313965 0.161066 -0.614645
0.314453 0.363068 -0.513046
0.314941 0.608872 -0.420295
0.315430 0.807801 -0.334635
0.315918 1.013437 -0.261298
0.316406 1.166427 -0.204222
0.316895 1.253883 -0.155122
0.317383 1.319343 -0.115323
0.317871 1.388438 -0.082794
0.318359 1.436924 -0.052212
0.318848 1.464914 -0.031049
0.319336 1.521644 -0.020767
0.319824 1.611160 -0.014464
0.320313 1.725969 -0.008729
0.320801 1.795813 -0.002437
0.321289 1.847709 0.004902
0.321777 1.940298 0.014059
0.322266 2.048662 0.027406
0.322754 2.178570 0.047619
0.323242 2.315524 0.076871
0.323730 2.459184 0.118531
0.324219 2.599660 0.174861
0.324707 2.728332 0.248456
0.325195 2.849398 0.342406
0.325684 2.922390 0.457426
0.326172 2.979157 0.596694
0.326660 3.067512 0.766168
0.327148 3.147511 0.972620
0.327637 3.183220 1.218561
0.328125 3.197308 1.503726
0.328613 3.205439 1.830907
0.329102 3.202180 2.201646
0.329590 3.184006 2.617386
0.330078 3.128288 3.077289
0.330566 3.045517 3.575789
0.331055 2.942174 4.108518
0.331543 2.819984 4.664214
0.332031 2.698019 5.230827
0.332520 2.580513 5.799817
0.333008 2.459409 6.361457
0.333496 2.324254 6.893532
