National Instruments Acquisition
Time    Acc001    Volt001
0.096680 -0.658680 -0.006801
0.097168 -0.713562 -0.005414
0.097656 -0.782259 -0.004066
0.098145 -0.817611 -0.002339
0.098633 -0.839829 -0.000240
0.099121 -0.887481 0.001707
0.099609 -0.843614 0.003781
0.100098 -0.894105 0.005892
0.100586 -0.941985 0.008137
0.101074 -0.939033 0.010461
0.101563 -0.989487 0.012505
0.102051 -1.005421 0.014844
0.102539 -1.051371 0.017254
0.103027 -1.077298 0.019242
0.103516 -1.097396 0.021465
0.104004 -1.113331 0.023621
0.104492 -1.102468 0.025452
0.104980 -1.105231 0.027200
0.105469 -1.078547 0.028684
0.105957 -1.058714 0.030189
0.106445 -1.039373 0.031411
0.106934 -1.001712 0.032166
0.107422 -0.982371 0.032950
0.107910 -0.951221 0.033563
0.108398 -0.924877 0.033892
0.108887 -0.898685 0.034172
0.109375 -0.853341 0.034404
0.109863 -0.816665 0.034281
0.110352 -0.797361 0.034030
0.110840 -0.783584 0.033948
0.111328 -0.764091 0.033526
0.111816 -0.754515 0.033089
0.112305 -0.735666 0.032708
0.112793 -0.736007 0.032072
0.113281 -0.737596 0.031430
0.113770 -0.728399 0.030742
0.114258 -0.711631 0.029831
0.114746 -0.689187 0.028609
0.115234 -0.714849 0.027357
0.115723 -0.705500 0.026053
0.116211 -0.682676 0.024443
0.116699 -0.675409 0.022679
0.117188 -0.652207 0.020620
0.117676 -0.637824 0.018573
0.118164 -0.609853 0.016514
0.118652 -0.590626 0.014063
0.119141 -0.570528 0.011552
0.119629 -0.537863 0.008967
0.120117 -0.502549 0.006572
0.120605 -0.460990 0.004102
0.121094 -0.419999 0.001498
0.121582 -0.376585 -0.000669
0.122070 -0.339985 -0.002963
0.122559 -0.282680 -0.005142
0.123047 -0.224316 -0.006980
0.123535 -0.168866 -0.008826
0.124023 -0.097368 -0.010481
0.124512 -0.065233 -0.011800
0.125000 -0.009518 -0.013003
0.125488 0.039043 -0.014236
0.125977 0.092033 -0.015080
0.126465 0.170003 -0.015663
0.126953 0.183970 -0.016126
0.127441 0.257928 -0.016410
0.127930 0.334687 -0.016780
0.128418 0.390100 -0.016934
0.128906 0.499220 -0.016713
0.129395 0.641081 -0.016444
0.129883 0.799331 -0.015962
0.130371 0.932297 -0.015177
0.130859 1.128170 -0.014337
0.131348 1.330023 -0.013242
0.131836 1.490960 -0.012132
0.132324 1.634600 -0.010993
0.132813 1.739141 -0.009457
0.133301 1.827936 -0.007910
0.133789 1.895385 -0.006363
0.134277 1.984407 -0.004660
0.134766 2.038608 -0.002978
0.135254 2.064914 -0.001293
0.135742 2.104694 0.000470
0.136230 2.126079 0.002077
0.136719 2.156510 0.003777
0.137207 2.149773 0.005630
0.137695 2.169266 0.007200
0.138184 2.162756 0.008784
0.138672 2.102234 0.010323
0.139160 2.101174 0.011683
0.139648 2.042620 0.013159
0.140137 1.978730 0.014672
0.140625 1.925702 0.015834
0.141113 1.826877 0.016608
0.141602 1.744175 0.017448
0.142090 1.660905 0.018158
0.142578 1.575251 0.018457
0.143066 1.481422 0.018554
0.143555 1.389371 0.018412
0.144043 1.288388 0.018054
0.144531 1.193082 0.017407
0.145020 1.119616 0.016301
0.145508 1.038655 0.015061
0.145996 0.955878 0.013294
0.146484 0.885591 0.011235
0.146973 0.827378 0.009438
0.147461 0.772004 0.006934
0.147949 0.724351 0.003983
0.148438 0.669242 0.001061
0.148926 0.601150 -0.002257
0.149414 0.553648 -0.005751
0.149902 0.539417 -0.009080
0.150391 0.513793 -0.012667
0.150879 0.493656 -0.016235
0.151367 0.492332 -0.019500
0.151855 0.459743 -0.022942
0.152344 0.435406 -0.025834
0.152832 0.420569 -0.028524
0.153320 0.429312 -0.031079
0.153809 0.469735 -0.033067
0.154297 0.500167 -0.035021
0.154785 0.539417 -0.036650
0.155273 0.578629 -0.037951
0.155762 0.620378 -0.039116
0.156250 0.668560 -0.040271
0.156738 0.715570 -0.041257
0.157227 0.759438 -0.042001
0.157715 0.816250 -0.042782
0.158203 0.881390 -0.043592
0.158691 0.936650 -0.044149
0.159180 0.984757 -0.044388
0.159668 1.017270 -0.044493
0.160156 1.053606 -0.044030
0.160645 1.077603 -0.043222
0.161133 1.081539 -0.041960
0.161621 1.091569 -0.039770
0.162109 1.082334 -0.037151
0.162598 1.069806 -0.033926
0.163086 1.042932 -0.029973
0.163574 0.987255 -0.025542
0.164063 0.937445 -0.020614
0.164551 0.868407 -0.015446
0.165039 0.813336 -0.010062
0.165527 0.722193 -0.004630
0.166016 0.623973 0.000837
0.166504 0.543126 0.006146
0.166992 0.427949 0.010517
0.167480 0.346875 0.014500
0.167969 0.224280 0.017822
0.168457 0.085295 0.020101
0.168945 -0.047406 0.021839
0.169434 -0.188699 0.022556
