National Instruments Acquisition
Time    Acc002_z    Volt001
0.096680 0.871612 -1.824769
0.097168 0.836540 -1.959353
0.097656 0.803005 -2.093727
0.098145 0.770668 -2.226912
0.098633 0.738518 -2.357804
0.099121 0.709591 -2.485027
0.099609 0.683213 -2.607179
0.100098 0.654248 -2.723731
0.100586 0.623373 -2.834428
0.101074 0.594558 -2.939296
0.101563 0.564769 -3.038541
0.102051 0.529210 -3.131161
0.102539 0.496761 -3.214680
0.103027 0.462401 -3.288521
0.103516 0.425343 -3.351983
0.104004 0.394992 -3.403989
0.104492 0.363592 -3.444588
0.104980 0.329869 -3.473048
0.105469 0.292399 -3.489424
0.105957 0.254142 -3.493538
0.106445 0.213562 -3.484907
0.106934 0.172682 -3.463909
0.107422 0.135099 -3.431638
0.107910 0.088299 -3.388696
0.108398 0.042773 -3.334702
0.108887 0.001556 -3.270034
0.109375 -0.042284 -3.195848
0.109863 -0.084663 -3.112378
0.110352 -0.133899 -3.019078
0.110840 -0.184858 -2.918122
0.111328 -0.230272 -2.811139
0.111816 -0.279582 -2.698910
0.112305 -0.329081 -2.581469
0.112793 -0.375806 -2.458603
0.113281 -0.418559 -2.331254
0.113770 -0.457303 -2.199932
0.114258 -0.500057 -2.069463
0.114746 -0.537152 -1.934640
0.115234 -0.569751 -1.795641
0.115723 -0.601451 -1.665336
0.116211 -0.628842 -1.537967
0.116699 -0.659155 -1.410035
0.117188 -0.692129 -1.282012
0.117676 -0.722255 -1.149947
0.118164 -0.746535 -1.020348
0.118652 -0.771340 -0.895540
0.119141 -0.796333 -0.772666
0.119629 -0.816117 -0.650895
0.120117 -0.835077 -0.529792
0.120605 -0.852988 -0.408350
0.121094 -0.866440 -0.286590
0.121582 -0.876856 -0.166567
0.122070 -0.882927 -0.048614
0.122559 -0.881428 0.066309
0.123047 -0.875470 0.178586
0.123535 -0.871348 0.288995
0.124023 -0.863892 0.398858
0.124512 -0.854749 0.508337
0.125000 -0.845943 0.616602
0.125488 -0.828557 0.724664
0.125977 -0.811621 0.831501
0.126465 -0.789176 0.937147
0.126953 -0.764259 1.040520
0.127441 -0.737842 1.142904
0.127930 -0.696662 1.241921
0.128418 -0.662227 1.336058
0.128906 -0.630153 1.431294
0.129395 -0.586838 1.523847
0.129883 -0.539738 1.611576
0.130371 -0.494961 1.695932
0.130859 -0.453519 1.774967
0.131348 -0.409716 1.849316
0.131836 -0.367375 1.917994
0.132324 -0.328893 1.980451
0.132813 -0.289587 2.037438
0.133301 -0.253166 2.086455
0.133789 -0.233906 2.128735
0.134277 -0.219818 2.169028
0.134766 -0.198347 2.205779
0.135254 -0.183059 2.237747
0.135742 -0.174291 2.265859
0.136230 -0.166160 2.290071
0.136719 -0.162039 2.310598
0.137207 -0.162826 2.327322
0.137695 -0.161814 2.341147
0.138184 -0.164849 2.350290
0.138672 -0.178301 2.355726
0.139160 -0.194638 2.360322
0.139648 -0.206216 2.362276
0.140137 -0.214984 2.360516
0.140625 -0.232258 2.355733
0.141113 -0.256463 2.350955
0.141602 -0.275386 2.346449
0.142090 -0.292322 2.339779
0.142578 -0.312781 2.331802
0.143066 -0.331554 2.322558
0.143555 -0.352349 2.311446
0.144043 -0.369698 2.298672
0.144531 -0.387721 2.284078
0.145020 -0.408255 2.266386
0.145508 -0.419908 2.243647
0.145996 -0.440742 2.219932
0.146484 -0.464423 2.199012
0.146973 -0.476226 2.177136
0.147461 -0.484357 2.152809
0.147949 -0.490240 2.126867
0.148438 -0.500993 2.098490
0.148926 -0.509237 2.067392
0.149414 -0.507064 2.033089
0.149902 -0.502830 1.994470
0.150391 -0.496947 1.952835
0.150879 -0.485556 1.909378
0.151367 -0.468957 1.863122
0.151855 -0.453744 1.813922
0.152344 -0.434109 1.761213
0.152832 -0.414025 1.705224
0.153320 -0.394953 1.646044
0.153809 -0.367975 1.584151
0.154297 -0.343394 1.521556
0.154785 -0.318327 1.458319
0.155273 -0.289887 1.394050
0.155762 -0.254890 1.328578
0.156250 -0.220080 1.261761
0.156738 -0.184671 1.194174
0.157227 -0.137458 1.125944
0.157715 -0.096691 1.057121
0.158203 -0.055698 0.988503
0.158691 -0.009835 0.920621
0.159180 0.034380 0.853990
0.159668 0.080281 0.788892
0.160156 0.125095 0.725755
0.160645 0.175867 0.664442
0.161133 0.228962 0.604765
0.161621 0.282207 0.547853
0.162109 0.332042 0.493209
0.162598 0.375733 0.441430
0.163086 0.422645 0.392697
0.163574 0.472368 0.346150
0.164063 0.521079 0.302412
0.164551 0.562109 0.260677
0.165039 0.602652 0.221868
0.165527 0.646155 0.185718
0.166016 0.687934 0.150772
0.166504 0.733048 0.117736
0.166992 0.776288 0.086220
0.167480 0.816606 0.055410
0.167969 0.856399 0.024846
0.168457 0.894582 -0.005515
0.168945 0.931265 -0.035966
0.169434 0.966224 -0.066855
0.169922 0.996688 -0.098909
0.170410 1.023891 -0.132730
0.170898 1.055066 -0.169291
0.171387 1.083956 -0.210092
0.171875 1.106925 -0.255268
0.172363 1.129856 -0.305451
0.172852 1.149603 -0.360864
0.173340 1.162343 -0.421625
0.173828 1.172722 -0.488681
0.174316 1.172797 -0.561581
0.174805 1.156798 -0.640560
0.175293 1.143720 -0.725921
0.175781 1.129107 -0.817158
0.176270 1.102915 -0.915013
0.176758 1.076199 -1.017244
0.177246 1.048059 -1.123916
0.177734 1.020931 -1.238488
0.178223 0.995226 -1.359086
0.178711 0.963976 -1.484478
0.179199 0.931115 -1.614607
0.179688 0.899640 -1.747464
0.180176 0.865130 -1.882242
0.180664 0.829271 -2.017658
0.181152 0.795361 -2.152398
0.181641 0.759876 -2.285401
0.182129 0.728589 -2.414167
0.182617 0.699512 -2.537321
0.183105 0.670585 -2.654444
0.183594 0.644244 -2.766542
0.184082 0.613406 -2.874859
0.184570 0.584179 -2.977907
0.185059 0.550006 -3.075060
0.185547 0.513585 -3.164172
0.186035 0.485745 -3.243416
0.186523 0.450373 -3.313110
0.187012 0.416238 -3.371416
0.187500 0.387311 -3.418221
0.187988 0.352052 -3.453570
0.188477 0.316680 -3.476355
0.188965 0.277936 -3.487007
0.189453 0.237655 -3.485509
0.189941 0.196138 -3.471348
0.190430 0.155483 -3.444981
0.190918 0.116889 -3.407942
0.191406 0.070426 -3.360307
0.191895 0.026286 -3.301520
0.192383 -0.015643 -3.232969
0.192871 -0.057872 -3.154767
0.193359 -0.099501 -3.067344
0.193848 -0.150760 -2.971776
0.194336 -0.197785 -2.868455
0.194824 -0.243236 -2.759944
0.195313 -0.295357 -2.646463
0.195801 -0.341033 -2.526952
0.196289 -0.389220 -2.403070
0.196777 -0.434559 -2.274771
0.197266 -0.473303 -2.143812
0.197754 -0.513771 -2.012913
0.198242 -0.550154 -1.880986
0.198730 -0.586500 -1.749628
0.199219 -0.618987 -1.614506
0.199707 -0.647239 -1.474759
0.200195 -0.675080 -1.341663
0.200684 -0.699773 -1.213921
0.201172 -0.727463 -1.087098
0.201660 -0.758751 -0.960784
0.202148 -0.785167 -0.834603
0.202637 -0.806487 -0.710557
0.203125 -0.825747 -0.587702
0.203613 -0.842459 -0.466540
0.204102 -0.858271 -0.346020
0.204590 -0.871386 -0.226020
0.205078 -0.882664 -0.107570
0.205566 -0.883976 0.009445
0.206055 -0.875995 0.122765
0.206543 -0.874383 0.233693
0.207031 -0.869287 0.344218
0.207520 -0.861381 0.453887
0.208008 -0.851002 0.562929
0.208496 -0.834590 0.670999
0.208984 -0.818890 0.778221
0.209473 -0.797120 0.883571
0.209961 -0.777186 0.987924
0.210449 -0.747659 1.091462
0.210938 -0.714798 1.190038
0.211426 -0.691492 1.287538
0.211914 -0.652485 1.385389
0.212402 -0.608907 1.479268
0.212891 -0.567353 1.569819
0.213379 -0.521527 1.656311
0.213867 -0.479186 1.738164
0.214355 -0.436358 1.814979
0.214844 -0.393042 1.886321
0.215332 -0.349389 1.951972
0.215820 -0.306786 2.009142
0.216309 -0.277597 2.059590
0.216797 -0.255864 2.107348
0.217285 -0.231846 2.151138
0.217773 -0.209738 2.190254
0.218262 -0.193701 2.225047
0.218750 -0.182535 2.255797
0.219238 -0.172118 2.281911
0.219727 -0.164249 2.303787
0.220215 -0.156980 2.321587
0.220703 -0.155594 2.332366
0.221191 -0.164587 2.340568
0.221680 -0.175228 2.348709
0.222168 -0.185720 2.354463
0.222656 -0.198160 2.357433
0.223145 -0.208089 2.357333
0.223633 -0.219743 2.353652
0.224121 -0.240688 2.346194
0.224609 -0.263096 2.339731
0.225098 -0.281006 2.333114
0.225586 -0.298842 2.324583
0.226074 -0.319713 2.316188
0.226563 -0.341071 2.306847
