National Instruments Acquisition
Time    Acc002_z    Volt001
0.000000 0.625509 -7.952268
0.000488 0.544685 -8.146905
0.000977 0.439319 -8.249289
0.001465 0.330019 -8.251557
0.001953 0.205356 -8.167511
0.002441 0.074885 -7.978598
0.002930 -0.055324 -7.709906
0.003418 -0.158554 -7.394057
0.003906 -0.278084 -7.018872
0.004395 -0.426428 -6.599172
0.004883 -0.555550 -6.147683
0.005371 -0.692278 -5.672778
0.005859 -0.830431 -5.193662
0.006348 -0.984733 -4.713317
0.006836 -1.151437 -4.247470
0.007324 -1.321814 -3.797479
0.007813 -1.491479 -3.369290
0.008301 -1.658333 -2.967135
0.008789 -1.849469 -2.561372
0.009277 -1.992005 -2.191339
0.009766 -2.123600 -1.882066
0.010254 -2.292853 -1.598249
0.010742 -2.444682 -1.341312
0.011230 -2.596511 -1.106554
0.011719 -2.743244 -0.889969
0.012207 -2.887766 -0.690900
0.012695 -2.996766 -0.504975
0.013184 -3.075304 -0.332692
0.013672 -3.112961 -0.161142
0.014160 -3.081299 0.002682
0.014648 -3.102657 0.154180
0.015137 -3.154778 0.308416
0.015625 -3.182918 0.471209
0.016113 -3.185166 0.646728
0.016602 -3.127088 0.835238
0.017090 -3.038396 1.037187
0.017578 -2.921489 1.254826
0.018066 -2.764452 1.486509
0.018555 -2.544839 1.734375
0.019043 -2.298061 1.990573
0.019531 -2.063161 2.250002
0.020020 -1.803942 2.521818
0.020508 -1.527150 2.803348
0.020996 -1.262761 3.082087
0.021484 -1.007702 3.357867
0.021973 -0.753205 3.624691
0.022461 -0.521864 3.875523
0.022949 -0.270290 4.112818
0.023438 -0.041647 4.302161
0.023926 0.091821 4.455722
0.024414 0.233459 4.606296
0.024902 0.378243 4.723771
0.025391 0.487544 4.808777
0.025879 0.577210 4.863226
0.026367 0.643157 4.885943
0.026855 0.698613 4.882080
0.027344 0.711240 4.850478
0.027832 0.686060 4.800172
0.028320 0.636375 4.730657
0.028809 0.572638 4.651981
0.029297 0.508264 4.556999
0.029785 0.429203 4.451854
0.030273 0.358983 4.333864
0.030762 0.267144 4.201781
0.031250 0.163802 4.084852
0.031738 0.066716 3.966600
0.032227 -0.038650 3.857170
0.032715 -0.121009 3.741859
0.033203 -0.237541 3.612884
0.033691 -0.368986 3.513325
0.034180 -0.470718 3.417671
0.034668 -0.581030 3.318441
0.035156 -0.688344 3.224274
0.035645 -0.789064 3.127020
0.036133 -0.882927 3.028680
0.036621 -0.974391 2.926726
0.037109 -1.066380 2.822870
0.037598 -1.152711 2.713803
0.038086 -1.225441 2.598846
0.038574 -1.289178 2.476290
0.039063 -1.351528 2.345492
0.039551 -1.398853 2.206642
0.040039 -1.448875 2.058316
0.040527 -1.482374 1.901640
0.041016 -1.503170 1.733990
0.041504 -1.537455 1.557410
0.041992 -1.561698 1.369240
0.042480 -1.580995 1.168950
0.042969 -1.608648 0.962909
0.043457 -1.631280 0.747676
0.043945 -1.593248 0.522677
0.044434 -1.548321 0.290172
0.044922 -1.565745 0.051987
0.045410 -1.573951 -0.191365
0.045898 -1.543900 -0.441846
0.046387 -1.510888 -0.697244
0.046875 -1.489793 -0.956748
0.047363 -1.448388 -1.217979
0.047852 -1.402375 -1.478608
0.048340 -1.354713 -1.738478
0.048828 -1.278686 -1.993895
0.049316 -1.204757 -2.242101
0.049805 -1.126520 -2.480360
0.050293 -1.038428 -2.705953
0.050781 -0.942392 -2.914927
0.051270 -0.842571 -3.105156
0.051758 -0.726414 -3.274820
0.052246 -0.592271 -3.417500
0.052734 -0.473865 -3.534290
0.053223 -0.361080 -3.621699
0.053711 -0.234993 -3.680673
0.054199 -0.093918 -3.704739
0.054688 0.014221 -3.685131
0.055176 0.129741 -3.650199
0.055664 0.290301 -3.599643
0.056152 0.437671 -3.518545
0.056641 0.606136 -3.413240
0.057129 0.778724 -3.280656
0.057617 0.963377 -3.124189
0.058105 1.210455 -2.942431
0.058594 1.470872 -2.731943
0.059082 1.698316 -2.497573
0.059570 1.891212 -2.245101
0.060059 2.079125 -1.976689
0.060547 2.217502 -1.697255
0.061035 2.315149 -1.409650
0.061523 2.398520 -1.117523
0.062012 2.478369 -0.821571
0.062500 2.580850 -0.503103
0.062988 2.620418 -0.182895
0.063477 2.677410 0.117504
0.063965 2.785399 0.424994
0.064453 2.839356 0.743395
0.064941 2.886156 1.062628
0.065430 2.931645 1.385419
0.065918 2.958549 1.707432
0.066406 2.972563 2.028810
0.066895 2.977584 2.340908
0.067383 3.000740 2.632941
0.067871 3.061104 2.930167
0.068359 3.087746 3.238289
0.068848 3.048177 3.532044
0.069336 3.029367 3.803594
0.069824 2.978445 4.049577
0.070313 2.894512 4.267107
0.070801 2.842204 4.440814
0.071289 2.774533 4.547210
0.071777 2.713494 4.609065
0.072266 2.675949 4.632690
0.072754 2.628549 4.588362
0.073242 2.575941 4.480766
0.073730 2.530715 4.294898
0.074219 2.464280 4.040423
0.074707 2.388628 3.704663
0.075195 2.348797 3.260176
0.075684 2.299299 2.781602
0.076172 2.221324 2.271542
0.076660 2.100183 1.696092
0.077148 1.928045 1.072552
0.077637 1.806042 0.415310
0.078125 1.681117 -0.272825
0.078613 1.489008 -0.986478
0.079102 1.363745 -1.718773
0.079590 1.278950 -2.463008
0.080078 1.167289 -3.202114
0.080566 1.059525 -3.946925
0.081055 0.948089 -4.619587
0.081543 0.870188 -5.224416
0.082031 0.831220 -5.824743
0.082520 0.787080 -6.363068
0.083008 0.721245 -6.847882
0.083496 0.631241 -7.262837
0.083984 0.525351 -7.581166
0.084473 0.400351 -7.809715
0.084961 0.277411 -7.935058
0.085449 0.175380 -7.960749
0.085938 0.041049 -7.895696
0.086426 -0.092419 -7.754376
0.086914 -0.207340 -7.535979
0.087402 -0.351150 -7.249461
0.087891 -0.477125 -6.905934
0.088379 -0.602200 -6.513729
0.088867 -0.743500 -6.087909
0.089355 -0.891095 -5.640944
0.089844 -1.049219 -5.182024
0.090332 -1.202584 -4.725614
0.090820 -1.366179 -4.276239
0.091309 -1.526026 -3.841538
0.091797 -1.702099 -3.426418
0.092285 -1.874761 -3.003710
0.092773 -2.005194 -2.614532
0.093262 -2.165754 -2.279823
0.093750 -2.338716 -1.955646
0.094238 -2.492081 -1.657015
0.094727 -2.643461 -1.388013
0.095215 -2.783486 -1.138043
0.095703 -2.916430 -0.906947
0.096191 -3.009769 -0.686891
0.096680 -3.080587 -0.482718
0.097168 -3.117195 -0.280626
0.097656 -3.127125 -0.078195
0.098145 -3.162122 0.109127
0.098633 -3.191124 0.291065
0.099121 -3.211470 0.477580
0.099609 -3.202515 0.675561
0.100098 -3.147883 0.885051
0.100586 -3.050723 1.102775
0.101074 -2.914332 1.333214
0.101563 -2.741820 1.574082
0.102051 -2.527790 1.823995
0.102539 -2.290567 2.081833
0.103027 -2.026365 2.344214
0.103516 -1.749086 2.608221
0.104004 -1.474130 2.869586
0.104492 -1.199736 3.125047
0.104980 -0.938195 3.371635
0.105469 -0.690030 3.605983
0.105957 -0.450933 3.824245
0.106445 -0.228024 4.021225
0.106934 -0.024748 4.193251
0.107422 0.156308 4.337795
0.107910 0.309710 4.452553
0.108398 0.440668 4.537312
0.108887 0.547795 4.590604
0.109375 0.631054 4.612996
0.109863 0.697189 4.606973
0.110352 0.743914 4.572509
0.110840 0.752570 4.513048
0.111328 0.721882 4.431577
0.111816 0.673021 4.330909
0.112305 0.598605 4.224894
0.112793 0.515271 4.122499
0.113281 0.433587 4.020030
0.113770 0.345719 3.916522
0.114258 0.253018 3.813683
0.114746 0.148551 3.712711
0.115234 0.062295 3.612790
0.115723 -0.035877 3.513990
0.116211 -0.161514 3.420466
0.116699 -0.270552 3.332833
0.117188 -0.377454 3.248997
0.117676 -0.488591 3.169148
0.118164 -0.600102 3.092321
0.118652 -0.703145 3.017725
0.119141 -0.798207 2.944750
0.119629 -0.896603 2.871368
0.120117 -0.989117 2.797448
0.120605 -1.077359 2.721638
0.121094 -1.158744 2.642091
0.121582 -1.233609 2.558154
0.122070 -1.301843 2.467805
0.122559 -1.357785 2.369494
0.123047 -1.411518 2.262620
0.123535 -1.461877 2.147268
0.124023 -1.500996 2.022776
0.124512 -1.534982 1.887707
0.125000 -1.566082 1.741586
0.125488 -1.587927 1.584021
0.125977 -1.604976 1.414405
0.126465 -1.614381 1.233065
0.126953 -1.612395 1.041133
0.127441 -1.612283 0.838675
0.127930 -1.605051 0.626507
0.128418 -1.588714 0.404807
0.128906 -1.576049 0.173904
0.129395 -1.552405 -0.064845
0.129883 -1.516284 -0.311332
0.130371 -1.483310 -0.561480
0.130859 -1.445728 -0.813205
0.131348 -1.401775 -1.067266
0.131836 -1.344858 -1.321177
0.132324 -1.264522 -1.573066
0.132813 -1.182800 -1.820185
0.133301 -1.103925 -2.059281
0.133789 -1.011599 -2.287621
0.134277 -0.907507 -2.501915
0.134766 -0.799968 -2.699303
0.135254 -0.680251 -2.876723
0.135742 -0.550904 -3.030145
0.136230 -0.433285 -3.158178
0.136719 -0.321249 -3.260289
0.137207 -0.195912 -3.334145
0.137695 -0.078181 -3.380058
0.138184 0.030970 -3.397873
0.138672 0.179277 -3.390041
0.139160 0.333916 -3.352345
0.139648 0.485745 -3.286978
0.140137 0.681976 -3.194757
0.140625 0.864793 -3.057716
0.141113 1.046748 -2.897774
0.141602 1.289929 -2.725423
0.142090 1.547648 -2.521934
0.142578 1.781612 -2.295205
0.143066 1.989646 -2.032914
0.143555 2.149606 -1.743078
0.144043 2.243356 -1.458009
0.144531 2.344226 -1.158971
0.145020 2.440449 -0.834006
0.145508 2.488299 -0.516502
0.145996 2.565337 -0.211851
0.146484 2.642226 0.095418
0.146973 2.711845 0.400790
0.147461 2.791394 0.707066
0.147949 2.841829 1.017841
0.148438 2.886044 1.331683
0.148926 2.925912 1.647949
0.149414 2.962071 1.962374
0.149902 2.994520 2.272499
0.150391 3.025695 2.575550
0.150879 3.057208 2.867785
0.151367 3.070509 3.144544
0.151855 3.064027 3.400689
0.152344 3.032852 3.630743
0.152832 2.995382 3.828366
0.153320 2.943673 3.988872
0.153809 2.873716 4.105607
0.154297 2.813989 4.171210
0.154785 2.768350 4.183588
0.155273 2.721588 4.137149
0.155762 2.654966 4.024192
0.156250 2.607454 3.841421
0.156738 2.558368 3.589091
0.157227 2.496430 3.264537
0.157715 2.452552 2.871667
0.158203 2.394099 2.413056
0.158691 2.350746 1.889022
0.159180 2.273932 1.322547
0.159668 2.133044 0.700826
0.160156 2.020447 0.032853
0.160645 1.894210 -0.644980
0.161133 1.745266 -1.353634
0.161621 1.608088 -2.078508
0.162109 1.438423 -2.814281
0.162598 1.322191 -3.545410
0.163086 1.232487 -4.261776
0.163574 1.108911 -4.957914
0.164063 1.032322 -5.599826
0.164551 0.922347 -6.212594
0.165039 0.841861 -6.695876
0.165527 0.817056 -7.088917
0.166016 0.718172 -7.451171
0.166504 0.653386 -7.660384
0.166992 0.602165 -7.820763
0.167480 0.489380 -7.932704
0.167969 0.375021 -7.930963
0.168457 0.248596 -7.853808
0.168945 0.120111 -7.684674
0.169434 -0.010847 -7.448235
0.169922 -0.131538 -7.140886
0.170410 -0.254702 -6.781326
0.170898 -0.400648 -6.382714
0.171387 -0.518342 -5.950135
0.171875 -0.656869 -5.507725
0.172363 -0.808848 -5.029375
0.172852 -0.938457 -4.553447
0.173340 -1.070502 -4.119937
0.173828 -1.220420 -3.708016
0.174316 -1.395668 -3.312624
0.174805 -1.531460 -2.938358
0.175293 -1.712365 -2.587657
0.175781 -1.904287 -2.246222
0.176270 -2.008941 -1.930829
0.176758 -2.185276 -1.654108
0.177246 -2.362060 -1.395937
0.177734 -2.501973 -1.158676
0.178223 -2.673099 -0.938347
0.178711 -2.811177 -0.731118
0.179199 -2.931981 -0.535834
0.179688 -3.011867 -0.348744
0.180176 -3.059941 -0.171772
0.180664 -3.081674 -0.000815
0.181152 -3.105168 0.168374
0.181641 -3.167967 0.339817
0.182129 -3.196370 0.519016
0.182617 -3.190487 0.706666
0.183105 -3.161373 0.904954
0.183594 -3.070470 1.116562
0.184082 -2.956036 1.331683
0.184570 -2.842352 1.561218
0.185059 -2.661746 1.816926
0.185547 -2.444344 2.084135
0.186035 -2.220310 2.360613
0.186523 -1.960717 2.644359
0.187012 -1.691307 2.930208
0.187500 -1.417550 3.216498
0.187988 -1.152524 3.496661
0.188477 -0.899975 3.766593
0.188965 -0.645816 4.021569
0.189453 -0.414288 4.254239
0.189941 -0.195462 4.461760
0.190430 0.002830 4.638530
0.190918 0.171408 4.780851
0.191406 0.326722 4.889246
0.191895 0.436659 4.959647
0.192383 0.556001 4.997944
0.192871 0.658707 4.995247
0.193359 0.694716 4.955264
0.193848 0.724355 4.899241
0.194336 0.718434 4.823031
0.194824 0.678192 4.729073
0.195313 0.618389 4.625281
0.195801 0.559599 4.511109
